date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-01-02,3.78,3.79,3.73,3.76,310637188.0,1201721504.0,36760685841.0,0.008450255507843098
2024-01-03,3.75,3.78,3.71,3.74,264772115.0,1019815022.0,36760685841.0,0.007202589096003586
2024-01-04,3.73,3.74,3.66,3.69,260849504.0,990575367.0,36760685841.0,0.007095882408947572
2024-01-05,3.69,3.74,3.66,3.68,282527220.0,1078996758.0,36760685841.0,0.007685580764787886
2024-01-08,3.71,3.86,3.7,3.77,601705642.0,2346299630.0,36760685841.0,0.016368183243439503
2024-01-09,3.75,3.81,3.66,3.67,438196798.0,1677063516.0,36760685841.0,0.01192025632751578
2024-01-10,3.66,3.67,3.61,3.62,312938530.0,1168411121.0,36760685841.0,0.008512858855613972
2024-01-11,3.63,3.66,3.61,3.66,228545185.0,855965250.0,36760685841.0,0.006217108842542283
2024-01-12,3.65,3.66,3.61,3.62,223497863.0,835198125.0,36760685841.0,0.006079806670819181
2024-01-15,3.6,3.65,3.59,3.62,193864016.0,721545641.0,36760685841.0,0.005273677886166618
2024-01-16,3.63,3.64,3.56,3.63,310656073.0,1149691608.0,36760685841.0,0.008450769236016769
2024-01-17,3.62,3.63,3.58,3.58,222970600.0,826388162.0,36760685841.0,0.0060654635488687205
2024-01-18,3.58,3.59,3.44,3.57,490711499.0,1770996795.0,36760685841.0,0.01334881240035785
2024-01-19,3.55,3.59,3.5,3.55,306907539.0,1118105654.0,36760685841.0,0.008348797961154992
2024-01-22,3.55,3.57,3.45,3.48,347503979.0,1259434991.0,36760685841.0,0.009453141883779034
2024-01-23,3.47,3.52,3.43,3.48,282421057.0,1008330680.0,36760685841.0,0.007682692815404701
2024-01-24,3.49,3.57,3.43,3.56,268791011.0,967834694.0,36760685841.0,0.007311915021460548
2024-01-25,3.56,3.65,3.54,3.64,309853817.0,1150401966.0,36760685841.0,0.008428945486496153
2024-01-26,3.63,3.67,3.61,3.65,317946499.0,1191565002.0,36760685841.0,0.008649090508681078
2024-01-29,3.66,3.68,3.64,3.64,245639573.0,924638822.0,36760685841.0,0.0066821270436155135
2024-01-30,3.63,3.65,3.55,3.55,250552149.0,928215792.0,36760685841.0,0.006815763723334935
2024-01-31,3.55,3.57,3.48,3.5,291225241.0,1054996194.0,36760685841.0,0.00792219280836132
2024-02-01,3.48,3.64,3.47,3.57,363587128.0,1334934001.0,36760685841.0,0.009890651376109075
2024-02-02,3.59,3.61,3.45,3.55,389005710.0,1413168329.0,36760685841.0,0.0105821124144026
2024-02-05,3.53,3.6,3.47,3.55,473843827.0,1720309007.0,36760685841.0,0.012889961548854226
2024-02-06,3.52,3.72,3.51,3.71,552147844.0,2072658495.0,36760685841.0,0.015020063727542792
