date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-01-02,3.64,3.74,3.6,3.63,49032369.0,179419878.0,1160145046.0,0.04226399894483539
2024-01-03,3.6,3.65,3.53,3.57,38826920.0,138822913.0,1160145046.0,0.033467298019216815
2024-01-04,3.55,3.58,3.49,3.52,24441584.0,85917214.0,1160145046.0,0.021067696736947493
2024-01-05,3.51,3.52,3.35,3.38,31095624.0,106466908.0,1160145046.0,0.026803220948288218
2024-01-08,3.39,3.44,3.38,3.38,23655752.0,80662390.0,1160145046.0,0.020390340054083203
2024-01-09,3.38,3.47,3.38,3.43,17706130.0,60452660.0,1160145046.0,0.015261996817594478
2024-01-10,3.43,3.43,3.36,3.38,15208950.0,51484854.0,1160145046.0,0.013109524582670156
2024-01-11,3.36,3.42,3.34,3.42,15422500.0,52340855.0,1160145046.0,0.01329359639398055
2024-01-12,3.45,3.52,3.41,3.44,30107039.0,104657978.0,1160145046.0,0.025951099049040804
2024-01-15,3.44,3.5,3.41,3.46,19171519.0,66257424.0,1160145046.0,0.016525105258260956
2024-01-16,3.45,3.46,3.36,3.43,18210784.0,61984244.0,1160145046.0,0.01569698897804887
2024-01-17,3.43,3.44,3.34,3.36,13788238.0,46669749.0,1160145046.0,0.011884925981918988
2024-01-18,3.34,3.34,3.2,3.3,25757522.0,83880284.0,1160145046.0,0.02220198421637703
2024-01-19,3.3,3.31,3.2,3.2,15080900.0,48833642.0,1160145046.0,0.012999150452778815
2024-01-22,3.2,3.23,2.94,2.97,25088274.0,77153935.0,1160145046.0,0.02162511841644325
2024-01-23,2.99,3.0,2.89,2.99,18611761.0,54959354.0,1160145046.0,0.016042615588602874
2024-01-24,3.02,3.08,2.94,3.08,16495727.0,49856094.0,1160145046.0,0.01421867641194927
2024-01-25,3.07,3.2,3.06,3.2,20216100.0,63466384.0,1160145046.0,0.01742549353609014
2024-01-26,3.24,3.32,3.2,3.26,21995253.0,72050315.0,1160145046.0,0.018959054366379634
2024-01-29,3.27,3.31,3.16,3.17,16560100.0,53633458.0,1160145046.0,0.014274163439387734
2024-01-30,3.15,3.19,3.07,3.09,13251589.0,41621839.0,1160145046.0,0.01142235537331252
2024-01-31,3.07,3.12,2.93,2.96,19131100.0,57514886.0,1160145046.0,0.016490265649076435
2024-02-01,2.95,3.01,2.89,2.92,17107850.0,50344727.0,1160145046.0,0.014746302679122072
2024-02-02,2.92,2.98,2.68,2.8,24832800.0,70147429.0,1160145046.0,0.02140490974436312
2024-02-05,2.74,2.76,2.52,2.53,31722126.0,81344119.0,1160145046.0,0.027343241355357217
2024-02-06,2.31,2.62,2.3,2.5,29539922.0,71106273.0,1160145046.0,0.025462266207013567
2024-02-07,2.51,2.55,2.4,2.44,21415738.0,52909756.0,1160145046.0,0.01845953492956604
2024-02-08,2.46,2.66,2.43,2.66,21888536.0,55877048.0,1160145046.0,0.018867068454473234
2024-02-19,2.67,2.85,2.67,2.73,22334578.0,61391393.0,1160145046.0,0.01925153934588279
2024-02-20,2.7,2.74,2.66,2.73,9066295.0,24619813.0,1160145046.0,0.007814794392528053
2024-02-21,2.71,2.83,2.7,2.77,15422486.0,42912187.0,1160145046.0,0.013293584326523944
2024-02-22,2.77,2.81,2.74,2.79,11449700.0,31817984.0,1160145046.0,0.009869196993493864
2024-02-23,2.8,2.83,2.78,2.82,14699362.0,41279617.0,1160145046.0,0.012670279505723114
2024-02-26,2.87,2.96,2.84,2.91,20408563.0,59162673.0,1160145046.0,0.017591389171867394
2024-02-27,2.91,2.96,2.87,2.96,12848473.0,37753019.0,1160145046.0,0.01107488502778126
2024-02-28,2.99,3.04,2.8,2.81,24641091.0,72054575.0,1160145046.0,0.021239664027320252
2024-02-29,2.81,2.89,2.79,2.88,13016600.0,37188962.0,1160145046.0,0.011219803976131447
2024-03-01,2.88,2.92,2.84,2.86,10587200.0,30332776.0,1160145046.0,0.00912575547040693
2024-03-04,2.85,2.88,2.77,2.85,13197160.0,37186734.0,1160145046.0,0.011375439687909506
2024-03-05,2.81,2.83,2.75,2.77,15898747.0,44266158.0,1160145046.0,0.013704102823018907
2024-03-06,2.76,2.85,2.73,2.81,11566670.0,32447407.0,1160145046.0,0.009970020593442245
2024-03-07,2.82,2.87,2.78,2.8,11673441.0,32981659.0,1160145046.0,0.010062053051252696
2024-03-08,2.79,2.9,2.78,2.87,15192441.0,43319895.0,1160145046.0,0.013095294465447384
2024-03-11,2.86,3.0,2.85,2.99,23595716.0,69853453.0,1160145046.0,0.020338591352309237
2024-03-12,2.98,2.99,2.9,2.96,16942400.0,49805488.0,1160145046.0,0.01460369120086731
2024-03-13,2.95,2.96,2.9,2.92,11135700.0,32556633.0,1160145046.0,0.009598541181030911
2024-03-14,2.9,2.95,2.88,2.92,10610900.0,30967827.0,1160145046.0,0.00914618395051958
2024-03-15,2.9,2.95,2.89,2.95,9178350.0,26865334.0,1160145046.0,0.007911381453246321
2024-03-18,2.95,2.99,2.94,2.97,10870700.0,32212578.0,1160145046.0,0.009370121466691157
2024-03-19,2.97,2.99,2.94,2.94,10439309.0,30934140.0,1160145046.0,0.008998279168620438
2024-03-20,2.95,2.98,2.95,2.97,8081552.0,23965017.0,1160145046.0,0.006965984148157971
2024-03-21,2.98,2.99,2.93,2.97,9791964.0,28987248.0,1160145046.0,0.00844029290454773
2024-03-22,2.96,2.96,2.89,2.9,15823946.0,46068184.0,1160145046.0,0.013639627264330878
2024-03-25,2.89,2.9,2.82,2.83,12583849.0,35964890.0,1160145046.0,0.010846789410847513
2024-03-26,2.81,2.85,2.77,2.83,11512975.0,32333138.0,1160145046.0,0.009923737587549893
2024-03-27,2.85,2.85,2.75,2.76,10230900.0,28549517.0,1160145046.0,0.008818638699768235
2024-03-28,2.74,2.81,2.74,2.78,8131782.0,22621422.0,1160145046.0,0.007009280458540181
2024-03-29,2.79,2.83,2.78,2.81,6958200.0,19505945.0,1160145046.0,0.005997698325731591
2024-04-01,2.83,2.97,2.8,2.94,17955400.0,52007912.0,1160145046.0,0.015476857882475499
2024-04-02,2.93,2.98,2.9,2.98,18982410.0,55931197.0,1160145046.0,0.016362100640302177
2024-04-03,2.96,3.0,2.93,3.0,16129025.0,47833750.0,1160145046.0,0.013902593521051849
2024-04-08,2.98,3.04,2.96,2.96,17421658.0,52140141.0,1160145046.0,0.015016792995037278
2024-04-09,2.96,3.0,2.94,2.97,13374162.0,39738037.0,1160145046.0,0.011528008541787111
2024-04-10,2.97,2.97,2.88,2.91,14654000.0,42845146.0,1160145046.0,0.012631179222395266
2024-04-11,2.9,2.95,2.85,2.91,12180100.0,35592026.0,1160145046.0,0.010498773443885395
2024-04-12,2.91,2.93,2.86,2.87,9801200.0,28302576.0,1160145046.0,0.00844825397806336
2024-04-15,2.88,2.89,2.65,2.74,19946300.0,54900450.0,1160145046.0,0.017192936408056688
2024-04-16,2.7,2.72,2.52,2.52,19696600.0,50660160.0,1160145046.0,0.016977704699865606
2024-04-17,2.55,2.68,2.55,2.68,16875231.0,44550863.0,1160145046.0,0.014545794129952265
2024-04-18,2.67,2.72,2.64,2.64,12084555.0,32353127.0,1160145046.0,0.010416417362351087
2024-04-19,2.64,2.71,2.61,2.65,11114000.0,29467490.0,1160145046.0,0.009579836623290636
2024-04-22,2.65,2.67,2.58,2.61,8310750.0,21775009.0,1160145046.0,0.007163543928109831
2024-04-23,2.63,2.64,2.59,2.61,5690700.0,14871622.0,1160145046.0,0.00490516252223862
2024-04-24,2.61,2.65,2.61,2.65,8063619.0,21217472.0,1160145046.0,0.006950526598206066
2024-04-25,2.69,2.87,2.67,2.73,24173390.0,66985552.0,1160145046.0,0.020836523918579056
2024-04-26,2.71,2.8,2.67,2.77,20800148.0,57037266.0,1160145046.0,0.017928920242960725
2024-04-29,2.76,2.87,2.74,2.87,19422601.0,54710677.0,1160145046.0,0.01674152819681135
2024-04-30,2.86,2.91,2.83,2.89,16581006.0,47638003.0,1160145046.0,0.014292183599946174
2024-05-06,2.92,2.96,2.88,2.91,14387860.0,41788996.0,1160145046.0,0.012401776872303259
2024-05-07,2.9,2.94,2.88,2.93,12734475.0,37163350.0,1160145046.0,0.010976623176478227
2024-05-08,2.95,2.98,2.91,2.93,14214850.0,41852924.0,1160145046.0,0.012252648967480916
2024-05-09,2.96,2.98,2.94,2.96,11673550.0,34588627.0,1160145046.0,0.01006214700502199
2024-05-10,2.94,2.97,2.92,2.94,12703350.0,37340375.0,1160145046.0,0.010949794634558134
2024-05-13,2.91,2.92,2.86,2.86,16092600.0,46373564.0,1160145046.0,0.013871196584844961
2024-05-14,2.87,2.92,2.87,2.91,10002700.0,29020888.0,1160145046.0,0.008621939157080191
2024-05-15,2.91,2.94,2.88,2.9,7355086.0,21433960.0,1160145046.0,0.006339798653072902
2024-05-16,2.91,2.95,2.9,2.92,8410250.0,24604839.0,1160145046.0,0.007249309066135512
2024-05-17,2.92,2.98,2.91,2.97,12421374.0,36657741.0,1160145046.0,0.010706742267121658
2024-05-20,2.99,3.14,2.99,3.06,26700300.0,81932436.0,1160145046.0,0.02301462225956874
2024-05-21,3.05,3.07,3.0,3.03,16248700.0,49247947.0,1160145046.0,0.014005748726008868
2024-05-22,3.02,3.08,3.01,3.07,13817100.0,42263321.0,1160145046.0,0.011909803905674738
2024-05-23,3.05,3.06,2.96,2.97,13210300.0,39733978.0,1160145046.0,0.011386765857896013
2024-05-24,2.97,3.26,2.94,3.05,42174450.0,130591630.0,1160145046.0,0.03635273894881589
2024-05-27,3.04,3.19,2.99,3.08,40431020.0,124209740.0,1160145046.0,0.03484996995798058
2024-05-28,3.08,3.08,2.96,2.97,27627093.0,82747810.0,1160145046.0,0.02381348185319924
2024-05-29,2.97,3.02,2.92,2.95,18935484.0,56079601.0,1160145046.0,0.01632165224967913
2024-05-30,2.93,2.95,2.88,2.9,13300135.0,38702096.0,1160145046.0,0.01146420014105719
2024-05-31,2.89,2.9,2.83,2.84,16760500.0,47910169.0,1160145046.0,0.014446900461099758
2024-06-03,2.83,2.84,2.72,2.74,16468852.0,45461120.0,1160145046.0,0.014195511205070474
2024-06-04,2.75,2.76,2.7,2.74,11403575.0,31120497.0,1160145046.0,0.009829439033780954
2024-06-05,2.74,2.74,2.67,2.67,10562000.0,28446893.0,1160145046.0,0.009104034048515
2024-06-06,2.68,2.7,2.6,2.62,14971796.0,39402666.0,1160145046.0,0.012905107039520988
2024-06-07,2.63,2.69,2.62,2.66,9367864.0,24854681.0,1160145046.0,0.008074735165485507
2024-06-11,2.66,2.66,2.6,2.65,9546700.0,25148326.0,1160145046.0,0.008228884856178578
2024-06-12,2.64,2.68,2.62,2.66,7595816.0,20126102.0,1160145046.0,0.006547298569423879
2024-06-13,2.67,2.67,2.6,2.61,9307950.0,24395571.0,1160145046.0,0.008023091622976253
2024-06-14,2.6,2.64,2.57,2.63,7174700.0,18766525.0,1160145046.0,0.006184312922541239
2024-06-17,2.62,2.62,2.58,2.59,8438000.0,21890618.0,1160145046.0,0.007273228489052221
2024-06-18,2.6,2.65,2.58,2.64,6303250.0,16529843.0,1160145046.0,0.005433156846837925
2024-06-19,2.64,2.66,2.62,2.65,6441952.0,17013217.0,1160145046.0,0.005552712587284538
2024-06-20,2.65,2.65,2.57,2.58,8645900.0,22436863.0,1160145046.0,0.007452430219660655
2024-06-21,2.55,2.6,2.55,2.58,5949000.0,15337055.0,1160145046.0,0.005127807096630916
2024-06-24,2.58,2.58,2.48,2.5,9914950.0,24999173.0,1160145046.0,0.008546302062992216
2024-06-25,2.48,2.53,2.48,2.51,7790677.0,19543679.0,1160145046.0,0.00671526118812561
2024-06-26,2.49,2.56,2.46,2.56,7338650.0,18413600.0,1160145046.0,0.00632563145901672
2024-06-27,2.54,2.56,2.5,2.51,5110000.0,12902151.0,1160145046.0,0.004404621661419395
2024-06-28,2.49,2.54,2.47,2.49,7391757.0,18530700.0,1160145046.0,0.006371407631731593
2024-07-01,2.5,2.55,2.49,2.53,6454550.0,16281999.0,1160145046.0,0.005563571574308132
2024-07-02,2.53,2.58,2.52,2.56,7000751.0,17923845.0,1160145046.0,0.006034375636165067
2024-07-03,2.56,2.59,2.54,2.56,6511950.0,16716880.0,1160145046.0,0.005613048146395309
2024-07-04,2.55,2.56,2.46,2.47,9348350.0,23330000.0,1160145046.0,0.008057914854898238
2024-07-05,2.48,2.51,2.44,2.5,5705750.0,14120104.0,1160145046.0,0.0049181350380907455
