date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-01-02,3.07,3.1,3.04,3.09,161516735.0,533690744.0,10526455441.0,0.015343886259272107
2024-01-03,3.06,3.09,3.01,3.04,171185506.0,557708875.0,10526455441.0,0.01626240731834966
2024-01-04,3.03,3.06,2.99,3.05,121752233.0,394365385.0,10526455441.0,0.011566308685997125
2024-01-05,3.04,3.08,3.0,3.03,99719316.0,325426298.0,10526455441.0,0.009473209339926375
2024-01-08,3.04,3.08,3.01,3.02,140502431.0,458249520.0,10526455441.0,0.013347553864404374
2024-01-09,3.03,3.13,2.99,3.09,175698279.0,580333449.0,10526455441.0,0.01669111506572899
2024-01-10,3.09,3.09,3.04,3.05,114039215.0,374571964.0,10526455441.0,0.010833581697009152
2024-01-11,3.04,3.07,3.02,3.04,94600665.0,308756031.0,10526455441.0,0.008986943946158295
2024-01-12,3.03,3.1,3.02,3.06,99532811.0,327711551.0,10526455441.0,0.00945549159998577
2024-01-15,3.07,3.08,3.04,3.06,66344400.0,217387993.0,10526455441.0,0.00630263438361141
2024-01-16,3.05,3.07,3.0,3.06,88460072.0,288365326.0,10526455441.0,0.008403595350382863
2024-01-17,3.06,3.06,2.95,2.96,122423050.0,393993816.0,10526455441.0,0.011630035455540765
2024-01-18,2.94,2.95,2.82,2.93,174331427.0,537998571.0,10526455441.0,0.016561265848424923
2024-01-19,2.94,2.95,2.85,2.87,113825500.0,353139972.0,10526455441.0,0.010813279041362353
2024-01-22,2.87,2.89,2.71,2.75,127109012.0,383924601.0,10526455441.0,0.012075195939643363
2024-01-23,2.73,2.76,2.67,2.72,219913446.0,636851361.0,10526455441.0,0.020891500204660393
2024-01-24,2.75,2.81,2.68,2.81,182925324.0,539949145.0,10526455441.0,0.01737767523220735
2024-01-25,2.83,2.91,2.82,2.91,158363551.0,489124144.0,10526455441.0,0.015044337753350682
2024-01-26,2.91,2.98,2.89,2.95,144524781.0,457290217.0,10526455441.0,0.013729672044882596
2024-01-29,2.95,2.98,2.9,2.91,113992400.0,358179204.0,10526455441.0,0.010829134331011889
2024-01-30,2.9,2.92,2.82,2.84,107429984.0,332261192.0,10526455441.0,0.010205713081876143
2024-01-31,2.85,2.88,2.81,2.81,131648700.0,401599097.0,10526455441.0,0.01250646057810069
2024-02-01,2.8,2.94,2.78,2.85,184135525.0,564671306.0,10526455441.0,0.017492642801944673
2024-02-02,2.84,2.89,2.74,2.81,178896106.0,542430456.0,10526455441.0,0.016994904600385132
2024-02-05,2.8,2.88,2.74,2.79,214796900.0,645712056.0,10526455441.0,0.0204054347832393
2024-02-06,2.78,2.97,2.75,2.96,211639102.0,655157641.0,10526455441.0,0.020105447953133078
2024-02-07,2.96,3.05,2.95,3.05,217748563.0,701959879.0,10526455441.0,0.02068583904814536
2024-02-08,3.03,3.12,2.98,3.02,233461860.0,769146955.0,10526455441.0,0.022178582459075266
2024-02-19,3.05,3.1,2.97,3.09,206327768.0,678134891.0,10526455441.0,0.019600877917210765
2024-02-20,3.08,3.19,3.06,3.14,194232928.0,651668722.0,10526455441.0,0.0184518833608009
2024-02-21,3.14,3.19,3.09,3.11,173757242.0,585697541.0,10526455441.0,0.01650671899709227
2024-02-22,3.1,3.18,3.08,3.17,167236831.0,562859579.0,10526455441.0,0.015887288170016015
2024-02-23,3.17,3.23,3.15,3.2,161523974.0,552853806.0,10526455441.0,0.015344573955148518
2024-02-26,3.18,3.2,3.07,3.08,179278020.0,599910764.0,10526455441.0,0.01703118594904429
2024-02-27,3.06,3.09,3.02,3.07,191221033.0,626620792.0,10526455441.0,0.018165757131807538
2024-02-28,3.05,3.08,3.0,3.0,165783472.0,541180419.0,10526455441.0,0.01574922089674003
2024-02-29,2.98,3.06,2.96,3.06,181963329.0,590699321.0,10526455441.0,0.017286286919646496
2024-03-01,3.05,3.06,3.0,3.04,165745249.0,538090613.0,10526455441.0,0.01574558975991394
2024-03-04,3.06,3.09,3.0,3.03,151066097.0,492468856.0,10526455441.0,0.014351088820611481
2024-03-05,3.02,3.07,3.0,3.04,153814071.0,500495979.0,10526455441.0,0.01461214288723459
2024-03-06,3.02,3.09,3.01,3.06,177384202.0,581513976.0,10526455441.0,0.016851275625895654
2024-03-07,3.09,3.36,3.08,3.28,728720892.0,2566160335.0,10526455441.0,0.06922756630514672
2024-03-08,3.34,3.54,3.26,3.54,807244606.0,2943925202.0,10526455441.0,0.07668722016870218
2024-03-11,3.53,3.53,3.32,3.41,651324243.0,2379380760.0,10526455441.0,0.061874982196108076
2024-03-12,3.4,3.42,3.25,3.3,506927854.0,1801502231.0,10526455441.0,0.04815750722940813
2024-03-13,3.28,3.35,3.24,3.33,361537979.0,1281694243.0,10526455441.0,0.034345652344836636
2024-03-14,3.55,3.66,3.5,3.53,934949149.0,3592980718.0,10526455441.0,0.08881899080277501
2024-03-15,3.51,3.78,3.44,3.73,802399515.0,3119978075.0,10526455441.0,0.07622694263015596
2024-03-18,3.74,3.8,3.64,3.68,559082711.0,2221017443.0,10526455441.0,0.053112152911644096
2024-03-19,3.65,3.76,3.61,3.63,399202830.0,1573537231.0,10526455441.0,0.0379237657193822
2024-03-20,3.58,3.7,3.56,3.64,403495839.0,1568635536.0,10526455441.0,0.03833159616373851
2024-03-21,3.68,3.72,3.62,3.67,351483199.0,1381617685.0,10526455441.0,0.03339046091726101
2024-03-22,3.58,3.62,3.5,3.55,338221589.0,1291422160.0,10526455441.0,0.03213062468137607
2024-03-25,3.53,3.65,3.53,3.56,285650995.0,1100429167.0,10526455441.0,0.027136484508109363
2024-03-26,3.55,3.56,3.44,3.5,265098131.0,993953258.0,10526455441.0,0.025183988331671122
2024-03-27,3.5,3.57,3.48,3.51,249334984.0,943668307.0,10526455441.0,0.023686509233569082
2024-03-28,3.5,3.69,3.5,3.64,355978985.0,1380623334.0,10526455441.0,0.03381755492104971
2024-03-29,3.68,3.72,3.64,3.7,334796121.0,1322701047.0,10526464166.000002,0.03180518317645313
2024-04-01,3.77,3.83,3.63,3.7,410348595.0,1641049023.0,10526464166.000002,0.03898256703570105
2024-04-02,3.68,3.78,3.66,3.7,304488692.0,1213177841.0,10526464166.000002,0.028926018005503172
2024-04-03,3.76,3.9,3.69,3.83,630698914.0,2566181577.0,10526464166.000002,0.05991555227415571
2024-04-08,3.87,4.14,3.81,3.84,737533717.0,3117888700.0,10526464166.000002,0.0700647154988852
2024-04-09,3.82,3.89,3.78,3.83,359395490.0,1476206466.0,10526464166.000002,0.03414209029094793
2024-04-10,3.84,4.03,3.79,3.95,439733256.0,1838408456.0,10526464166.000002,0.04177407048231051
2024-04-11,3.85,3.99,3.77,3.88,388800846.0,1617420378.0,10526464166.000002,0.03693555973484515
2024-04-12,3.91,3.96,3.83,3.91,328852817.0,1375651321.0,10526464166.000002,0.03124057725500834
2024-04-15,3.84,3.9,3.7,3.9,355488150.0,1454431941.0,10526464166.000002,0.03377089822318595
2024-04-16,3.85,3.91,3.69,3.73,333212890.0,1360720174.0,10526464166.000002,0.03165477835152495
2024-04-17,3.71,3.85,3.68,3.84,286742874.0,1162368751.0,10526464166.000002,0.02724018905856027
2024-04-18,3.82,4.0,3.8,3.99,384843840.0,1618774553.0,10526464166.000002,0.036559649463589874
2024-04-19,4.0,4.14,3.89,3.94,408566835.0,1753065267.0,10526464166.000002,0.03881330222161894
2024-04-22,4.0,4.04,3.76,3.78,374233558.0,1559233363.0,10526464166.000002,0.0355516868815986
2024-04-23,3.68,3.69,3.51,3.55,411964196.0,1588379559.0,10526464166.000002,0.03913604696728323
2024-04-24,3.54,3.63,3.52,3.62,253226755.0,971611142.0,10526464166.000002,0.02405620263430059
2024-04-25,3.58,3.67,3.54,3.64,199113723.0,771091700.0,10526464166.000002,0.01891553705594023
2024-04-26,3.66,3.77,3.65,3.76,354620950.0,1413189843.0,10526464166.000002,0.03368851538443549
2024-04-29,3.73,3.77,3.61,3.75,371238295.0,1468205572.0,10526464166.000002,0.0352671409074932
2024-04-30,3.8,3.84,3.75,3.77,252987961.0,1028894423.0,10526464166.000002,0.024033517524064685
2024-05-06,3.7,3.79,3.65,3.79,273110290.0,1094148913.0,10526464166.000002,0.025945111833670962
2024-05-07,3.8,3.84,3.72,3.73,259735906.0,1052459687.0,10526464166.000002,0.02467456326303139
2024-05-08,3.69,3.72,3.64,3.66,189477228.0,747589186.0,10526464166.000002,0.018000082934970966
2024-05-09,3.64,3.83,3.64,3.79,282326422.0,1139265978.0,10526464166.000002,0.02682063203253961
2024-05-10,3.84,3.89,3.76,3.85,252336324.0,1034484032.0,10526464166.000002,0.023971612881658288
2024-05-13,3.78,3.84,3.72,3.81,195680251.0,794270818.0,10526464166.000002,0.018589361813631425
2024-05-14,3.86,3.9,3.79,3.87,274969519.0,1135734758.0,10526464166.000002,0.026121736099015944
2024-05-15,3.82,3.9,3.78,3.82,236657490.0,975352410.0,10526464166.000002,0.022482144646859947
